STATNAME,DISTNAME,primary,upper_primary
UTTAR PRADESH,BULANDSHAHR,86.98,45.12
MAHARASHTRA,BULDANA,86.68,83.18
RAJASTHAN,BUNDI,88.96,64.25
MADHYA PRADESH,BURHANPUR,80.07,55.97
BIHAR,BUXAR,91.99,72.55
ASSAM,CACHAR,,65.75
DELHI,CENTRAL DELHI,83.82,95
HIMACHAL PRADESH,CHAMBA,87.84,85.85
UTTARAKHAND,CHAMOLI,83.19,73.99
UTTARAKHAND,CHAMPAWAT,86,73.71
MIZORAM,CHAMPHAI,89.19,70.12
KARNATAKA,Chamrajnagar,88.06,84.29
UTTAR PRADESH,CHANDAULI,96.58,60.64
MANIPUR,CHANDEL,,55.03
CHANDIGARH,CHANDIGARH,96.3,96.19
MAHARASHTRA,CHANDRAPUR,88.87,81.82
ARUNACHAL PRADESH,CHANGLANG,86.79,58.66
JHARKHAND,CHATRA,94.43,49.29
TAMIL NADU,CHENNAI,84.45,81.56
MADHYA PRADESH,CHHATARPUR,97.32,77.97
MADHYA PRADESH,CHHINDWARA,82.63,76.76
GUJARAT,CHHOTAUDEPUR,,
KARNATAKA,CHIKKABALLAPURA,90.34,86.15
KARNATAKA,Chikmagalur,94.11,89.57
ASSAM,CHIRANG,,78.73
KARNATAKA,CHITRADURGA,93.4,90.14
UTTAR PRADESH,CHITRAKOOT,97.93,61.82
RAJASTHAN,CHITTAURGARH,83.66,64.54
ANDHRA PRADESH,CHITTOOR,73.02,61.3
MANIPUR,CHURACHANDPUR,,79.01
RAJASTHAN,CHURU,80.81,63.96
TAMIL NADU,COIMBATORE,,
TAMIL NADU,CUDDALORE,89.23,79.29
ODISHA,CUTTACK,80.07,65
DADRA & NAGAR HAVELI,Dadra & Nagar Haveli,90.47,78.77
CHHATTISGARH,Dakshin Bastar Dantewada,50.8,21.47
WEST BENGAL,DAKSHIN DINAJPUR,93.89,65.26
KARNATAKA,DAKSHINA KANNADA,99.1,
DAMAN & DIU,DAMAN,83,75.71
MADHYA PRADESH,DAMOH,90.44,75.53
BIHAR,DARBHANGA,99.2,65.71
WEST BENGAL,DARJILING,24.63,19.96
ASSAM,DARRANG,,59.53
MADHYA PRADESH,DATIA,91.02,75.39
RAJASTHAN,Dausa,79.7,63.04
KARNATAKA,DAVANAGERE,96.97,90.26
ODISHA,Debagarh,89.68,91.42
UTTARAKHAND,DEHRADUN,,81.89
JHARKHAND,DEOGHAR,91.52,60.91
UTTAR PRADESH,DEORIA,84.82,53.54
GUJARAT,DEVBHOOMI DWARKA,,
MADHYA PRADESH,DEWAS,81.23,64.9
TRIPURA,DHALAI,,82.07
CHHATTISGARH,DHAMTARI,89.97,85.71
JHARKHAND,DHANBAD,79.35,56.87
MADHYA PRADESH,DHAR,82.72,55.84
TAMIL NADU,DHARMAPURI,86.58,81.33
KARNATAKA,DHARWAD,99.39,91.28
RAJASTHAN,DHAULPUR,,65.04
ASSAM,DHEMAJI,,88.74
ODISHA,DHENKANAL,85.06,71.24
ASSAM,DHUBRI,,64
MAHARASHTRA,DHULE,94.66,75.8
ARUNACHAL PRADESH,DIBANG VALLEY,64.1,35.88
ASSAM,DIBRUGARH,,70.39
ASSAM,DIMA HASAO,81.16,55.77
NAGALAND,DIMAPUR,,89.54
TAMIL NADU,DINDIGUL,98.52,89.96
MADHYA PRADESH,DINDORI,84.97,78.54
DAMAN & DIU,DIU,74.24,62.16
JAMMU & KASHMIR,DODA,81.57,65.56
GUJARAT,DOHAD,73.42,63.35
JHARKHAND,DUMKA,92.66,54.69
RAJASTHAN,DUNGARPUR,86.13,64.9
CHHATTISGARH,DURG,45.32,39.41
DELHI,EAST DELHI,,
MEGHALAYA,EAST GARO HILLS,46.36,24.04
ANDHRA PRADESH,EAST GODAVARI,82.08,66.77
MEGHALAYA,EAST JAINTIA HILLS,,
ARUNACHAL PRADESH,EAST KAMENG,84.02,42.7
MEGHALAYA,EAST KHASI HILLS,82.66,54.57
ARUNACHAL PRADESH,EAST SIANG,99.05,79.51
SIKKIM,EAST SIKKIM,74.65,50.56
KERALA,ERNAKULAM,92.59,88.27
TAMIL NADU,ERODE,,99.87
UTTAR PRADESH,ETAH,99.74,60.56
UTTAR PRADESH,ETAWAH,,67.14
UTTAR PRADESH,FAIZABAD,98.5,60.95
HARYANA,FARIDABAD,94.17,73.89
PUNJAB,FARIDKOT,97.44,82.23
UTTAR PRADESH,FARRUKHABAD,99.26,
HARYANA,FATEHABAD,79.66,66.76
PUNJAB,FATEHGARH SAHIB,90.03,79.85
UTTAR PRADESH,FATEHPUR,92.44,53.69
PUNJAB,Fazilka,,
UTTAR PRADESH,FIROZABAD,82.52,48.62
PUNJAB,FIROZPUR,39.77,32.09
KARNATAKA,GADAG,94.43,85.19
ODISHA,GAJAPATI,,67.27
JAMMU & KASHMIR,GANDERBAL,58.4,41.12
GUJARAT,GANDHINAGAR,,
RAJASTHAN,GANGANAGAR,85.03,66.66
ODISHA,GANJAM,83.25,57.78
MAHARASHTRA,Garhchiroli,90.25,71.23
JHARKHAND,GARHWA,92.04,61.07
UTTARAKHAND,GARHWAL,79.04,74.19
CHHATTISGARH,GARIABAND,,
UTTAR PRADESH,GAUTAM BUDDHA NAGAR,,72.57
BIHAR,GAYA,96.54,61.17
UTTAR PRADESH,GHAZIABAD,55.91,32.79
UTTAR PRADESH,GHAZIPUR,,74.44
GUJARAT,GIR SOMNATH,,
JHARKHAND,GIRIDIH,85.65,50.08
ASSAM,GOALPARA,,71.11
JHARKHAND,GODDA,86.89,47.95
ASSAM,GOLAGHAT,,71.67
TRIPURA,GOMATI,,
UTTAR PRADESH,GONDA,97.64,47.86
MAHARASHTRA,GONDIYA,86.47,79.05
BIHAR,GOPALGANJ,92.56,60.52
UTTAR PRADESH,GORAKHPUR,93.46,51.32
KARNATAKA,GULBARGA,,82.08
JHARKHAND,GUMLA,94.37,51.48
MADHYA PRADESH,GUNA,86.64,61.51
ANDHRA PRADESH,GUNTUR,78.24,61.4
PUNJAB,GURDASPUR,62.34,52.4
HARYANA,GURGAON,90.1,79.88
MADHYA PRADESH,GWALIOR,99.91,76.14
ASSAM,HAILAKANDI,,64.39
UTTAR PRADESH,HAMIRPUR,,65.59
HIMACHAL PRADESH,Hamirpur (Himachal),86.58,77.18
RAJASTHAN,HANUMANGARH,73.23,65.26
WEST BENGAL,HAORA,73.94,76.63
UTTAR PRADESH,HAPUR (PANCHSHEEL NAGAR),,
MADHYA PRADESH,HARDA,78.7,71.18
UTTAR PRADESH,HARDOI,,57.12
UTTARAKHAND,HARDWAR,93.05,56.59
KARNATAKA,HASSAN,83.19,81.22
UTTAR PRADESH,HATHRAS,85.27,57.44
KARNATAKA,HAVERI,93.67,86.67
JHARKHAND,Hazaribagh,84.42,55.98
MAHARASHTRA,HINGOLI,85.22,73.8
HARYANA,HISAR,79.23,71.72
MADHYA PRADESH,HOSHANGABAD,80.6,75.87
PUNJAB,HOSHIARPUR,90.57,76.03
WEST BENGAL,HUGLI,67.39,57.77
KERALA,IDUKKI,85.07,75.51
MANIPUR,IMPHAL EAST,,73.52
MANIPUR,IMPHAL WEST,96.38,76.91
MADHYA PRADESH,INDORE,,87.25
MADHYA PRADESH,JABALPUR,88.55,78.59
ODISHA,Jagatsinghapur,90.49,74.7
MEGHALAYA,JAINTIA HILLS,49.74,27.81
RAJASTHAN,JAIPUR,90.91,69.16
RAJASTHAN,JAISALMER,86.66,44.37
ODISHA,Jajapur,95.27,72.16
PUNJAB,JALANDHAR,94.77,76.51
UTTAR PRADESH,JALAUN,85.24,60.18
MAHARASHTRA,JALGAON,89.79,80.28
MAHARASHTRA,JALNA,86.9,79.26
RAJASTHAN,JALOR,83.46,59.66
WEST BENGAL,JALPAIGURI,54.46,42.13
JAMMU & KASHMIR,JAMMU,91.13,74.51
GUJARAT,JAMNAGAR,45.02,40.29
JHARKHAND,JAMTARA,81.33,52.43
BIHAR,JAMUI,,74.19
CHHATTISGARH,JANJGIR - CHAMPA,,90.91
CHHATTISGARH,JASHPUR,98.06,79.12
UTTAR PRADESH,JAUNPUR,,65.43
BIHAR,JEHANABAD,82.67,63.09
MADHYA PRADESH,JHABUA,90.35,42.66
HARYANA,JHAJJAR,81.4,73.31
RAJASTHAN,JHALAWAR,94.52,65.77
UTTAR PRADESH,JHANSI,,72.45
ODISHA,JHARSUGUDA,88.85,76.96
RAJASTHAN,JHUNJHUNUN,77.11,70.23
HARYANA,JIND,73.54,70.55
RAJASTHAN,JODHPUR,84.7,55.44
ASSAM,JORHAT,,84.26
GUJARAT,JUNAGADH,39.03,37.9
UTTAR PRADESH,JYOTIBA PHULE NAGAR,88.68,55.02
CHHATTISGARH,Kabeerdham,92.48,78.57
GUJARAT,KACHCHH,80,75.51
BIHAR,Kaimur (bhabua),95.4,76.49
HARYANA,KAITHAL,84.3,76.47
ODISHA,KALAHANDI,94.36,77.71
ASSAM,KAMRUP-METRO,,87.76
ASSAM,KAMRUP-RURAL,,72.22
TAMIL NADU,KANCHEEPURAM,89.86,81.06
ODISHA,KANDHAMAL,,64.81
HIMACHAL PRADESH,KANGRA,80.1,73.55
UTTAR PRADESH,KANNAUJ,98.05,68.55
TAMIL NADU,KANNIYAKUMARI,95.62,89.96
KERALA,KANNUR,91,88.42
UTTAR PRADESH,KANPUR DEHAT,76.43,56.52
UTTAR PRADESH,KANPUR NAGAR,,83.75
UTTAR PRADESH,Kansiram Nagar,96.27,55.7
PUNJAB,KAPURTHALA,95.21,80.56
PUDUCHERRY,KARAIKAL,,95.14
RAJASTHAN,KARAULI,89.66,63.92
ASSAM,KARBI ANGLONG,97.02,62.15
JAMMU & KASHMIR,KARGIL,65.97,50.76
ASSAM,KARIMGANJ,,66.76
HARYANA,KARNAL,83.89,71.74
TAMIL NADU,KARUR,84.05,71.88
KERALA,KASARAGOD,88.97,82.1
JAMMU & KASHMIR,KATHUA,78.63,61.18
BIHAR,KATIHAR,,61.38
MADHYA PRADESH,KATNI,79.67,75.44
UTTAR PRADESH,KAUSHAMBI,82,39.13
ODISHA,KENDRAPARA,94.99,76.21
ODISHA,KEONJHAR,,70.93
BIHAR,KHAGARIA,96.94,59.94
MADHYA PRADESH,KHANDWA,82.76,63.51
MADHYA PRADESH,KHARGONE,81.17,56.86
GUJARAT,KHEDA,73.02,70.17
UTTAR PRADESH,KHERI,95.57,49.9
ODISHA,KHORDHA,93.5,76.89
TRIPURA,KHOWAI,,
JHARKHAND,KHUNTI,89.25,52.18
HIMACHAL PRADESH,KINNAUR,85.11,71.91
NAGALAND,KIPHIRE,72.75,37.52
BIHAR,KISHANGANJ,,53.8
JAMMU & KASHMIR,KISHTWAR,80.19,55.02
WEST BENGAL,KOCH BIHAR,94.1,
KARNATAKA,KODAGU,94.62,89.29
JHARKHAND,KODARMA,87.69,59.37
NAGALAND,KOHIMA,72.5,61.27
ASSAM,KOKRAJHAR,,65.9
KARNATAKA,KOLAR,89.86,84.17
MIZORAM,KOLASIB,97.7,70.45
MAHARASHTRA,KOLHAPUR,88.89,82.75
WEST BENGAL,KOLKATA,59.92,56.19
KERALA,KOLLAM,91.83,86.68
CHHATTISGARH,KONDAGAON,,
KARNATAKA,KOPPAL,97.3,83.32
ODISHA,KORAPUT,95.07,55.55
CHHATTISGARH,KORBA,90.63,79.95
CHHATTISGARH,KORIYA,93.59,87.73
RAJASTHAN,KOTA,97.74,78.44
KERALA,KOTTAYAM,92.19,86.78
KERALA,KOZHIKODE,87.7,83.08
ARUNACHAL PRADESH,KRA DADI,,
ANDHRA PRADESH,KRISHNA,77.34,65.01
TAMIL NADU,Krishnagiri,97.57,83.67
JAMMU & KASHMIR,KULGAM,55.33,45.74
HIMACHAL PRADESH,KULLU,94.2,85.37
JAMMU & KASHMIR,KUPWARA,49.65,36.71
ANDHRA PRADESH,KURNOOL,80,54.78
HARYANA,KURUKSHETRA,83.54,80.11
ARUNACHAL PRADESH,KURUNG KUMEY,32.24,13.8
UTTAR PRADESH,KUSHINAGAR,,42.95
HIMACHAL PRADESH,LAHUL & SPITI,70.7,62.03
ASSAM,LAKHIMPUR,,85.72
BIHAR,LAKHISARAI,,70.6
LAKSHADWEEP,LAKSHADWEEP,81.86,83.37
UTTAR PRADESH,LALITPUR,97.81,71.17
JHARKHAND,LATEHAR,96.34,57.2
MAHARASHTRA,LATUR,95.43,86.68
MIZORAM,Lawangtlai,78.77,43.17
JAMMU & KASHMIR,Leh (Ladakh),87.72,65.93
JHARKHAND,LOHARDAGA,94.89,54.4
ARUNACHAL PRADESH,LOHIT,29.44,19.36
ARUNACHAL PRADESH,LONGDING,,
NAGALAND,LONGLENG,63.63,43.15
ARUNACHAL PRADESH,LOWER DIBANG VALLEY,,61.73
ARUNACHAL PRADESH,LOWER SUBANSIRI,85.57,50.72
UTTAR PRADESH,LUCKNOW,,
PUNJAB,LUDHIANA,,79.44
MIZORAM,LUNGLEI,85.72,55.87
BIHAR,MADHEPURA,,68.29
BIHAR,MADHUBANI,,77.41
TAMIL NADU,MADURAI,,88.71
UTTAR PRADESH,MAHARAJGANJ,,48.32
CHHATTISGARH,MAHASAMUND,,96.54
PUDUCHERRY,MAHE,,
HARYANA,MAHENDRAGARH,76.92,72.33
GUJARAT,MAHESANA,84.92,85.08
GUJARAT,MAHISAGAR,,
UTTAR PRADESH,MAHOBA,,68.29
UTTAR PRADESH,MAINPURI,98.39,56.98
KERALA,MALAPPURAM,88,84.54
WEST BENGAL,MALDAH,98.41,59.92
ODISHA,MALKANGIRI,,53.84
MIZORAM,MAMIT,83.68,49.73
HIMACHAL PRADESH,MANDI,76.76,76.09
MADHYA PRADESH,MANDLA,84.31,77.35
MADHYA PRADESH,MANDSAUR,83.71,67.04
KARNATAKA,MANDYA,85.47,85.23
PUNJAB,MANSA,88.13,78.23
UTTAR PRADESH,MATHURA,,53.38
UTTAR PRADESH,MAU,,62.53
ODISHA,MAYURBHANJ,,
UTTAR PRADESH,MEERUT,75.13,50.78
HARYANA,MEWAT,54.16,38.67
UTTAR PRADESH,MIRZAPUR,93.95,60.04
PUNJAB,MOGA,87.12,78.85
PUNJAB,MOHALI,98.38,72.96
NAGALAND,MOKOKCHUNG,65.26,42.5
NAGALAND,MON,71.23,33.9
UTTAR PRADESH,MORADABAD,63.67,33.54
GUJARAT,MORBI,,
MADHYA PRADESH,MORENA,93.25,65.36
ASSAM,MORIGAON,,61.43
PUNJAB,MUKTSAR,86.35,73.63
MAHARASHTRA,Mumbai,96.89,
MAHARASHTRA,Mumbai Suburban,86.9,20.31
CHHATTISGARH,MUNGELI,,
BIHAR,MUNGER,98.29,73.33
WEST BENGAL,MURSHIDABAD,93.44,67.27
UTTAR PRADESH,MUZAFFARNAGAR,60.01,30.5
BIHAR,MUZAFFARPUR,97.07,71.87
KARNATAKA,MYSORE,95.87,93.06
ODISHA,Nabarangapur,95.54,65.66
WEST BENGAL,NADIA,88.21,76.99
ASSAM,NAGAON,99.55,62.16
TAMIL NADU,Nagappattinam,92.24,87.68
RAJASTHAN,NAGAUR,81.58,58.14
MAHARASHTRA,NAGPUR,94.8,86.55
UTTARAKHAND,NAINITAL,94.14,76.78
BIHAR,NALANDA,97.86,68.89
ASSAM,NALBARI,,77.71
TAMIL NADU,NAMAKKAL,95.53,80.83
ARUNACHAL PRADESH,NAMSAI,,
MAHARASHTRA,NANDED,88.87,72.72
MAHARASHTRA,NANDURBAR,88.44,67.01
CHHATTISGARH,NARAYANPUR,,48.31
GUJARAT,NARMADA,76.68,69.65
MADHYA PRADESH,NARSIMHAPUR,84.6,77.7
MAHARASHTRA,NASHIK,89.7,78.06
GUJARAT,NAVSARI,83.11,80.46
BIHAR,NAWADA,,71.46
PUNJAB,NAWANSHAHR,87.67,75.21
ODISHA,NAYAGARH,77.9,69.3
MADHYA PRADESH,NEEMUCH,79.26,65.32
ANDHRA PRADESH,NELLORE,77.76,60.08
DELHI,NEW DELHI,,
A & N ISLANDS,Nicobar,82.5,71.71
A & N ISLANDS,North & Middle Andaman,82.39,78.89
WEST BENGAL,North 24 Parganas,71.57,72.89
DELHI,NORTH DELHI,96.09,77.53
DELHI,NORTH EAST DELHI,,90.56
MEGHALAYA,NORTH GARO HILLS,,
GOA,NORTH GOA,,
SIKKIM,NORTH SIKKIM,56.47,33.19
TRIPURA,NORTH TRIPURA,53.56,46.04
DELHI,NORTH WEST DELHI,,90.89
ODISHA,NUAPADA,,99.52
MAHARASHTRA,OSMANABAD,78.98,75.98
JHARKHAND,Pakur,84.23,38.21
KERALA,PALAKKAD,86.76,81.02
JHARKHAND,PALAMU,98.71,59.17
MAHARASHTRA,PALGHAR,,
RAJASTHAN,PALI,78.55,62.87
HARYANA,PALWAL,79.69,63.9
GUJARAT,PANCH MAHALS,54.67,52.91
HARYANA,PANCHKULA,,80.69
HARYANA,PANIPAT,77.95,66
MADHYA PRADESH,PANNA,93.04,74.36
ARUNACHAL PRADESH,PAPUM PARE,,80.87
MAHARASHTRA,PARBHANI,91.33,81.61
BIHAR,PASHCHIM CHAMPARAN,,51.17
WEST BENGAL,Pashchim Medinipur,90.77,72.37
JHARKHAND,PASHCHIMI SINGHBHUM,91.52,54.04
GUJARAT,PATAN,78.81,79.51
KERALA,PATHANAMTHITTA,91.29,85.84
PUNJAB,PATHANKOT,,
PUNJAB,PATIALA,91.76,80.25
BIHAR,PATNA,75.63,55.57
TAMIL NADU,PERAMBALUR,,
NAGALAND,PEREN,65.78,47.25
NAGALAND,PHEK,56.54,40.38
UTTAR PRADESH,PILIBHIT,93.87,58.83
UTTARAKHAND,PITHORAGARH,80.13,71.5
PUDUCHERRY,PONDICHERRY,,94.64
GUJARAT,PORBANDAR,78.4,68.48
ANDHRA PRADESH,PRAKASAM,76,55.55
UTTAR PRADESH,PRATAPGARH,,
RAJASTHAN,Pratapgarh (Rajasthan),94.75,63.46
TAMIL NADU,PUDUKKOTTAI,89.02,74.47
JAMMU & KASHMIR,PULWAMA,48.22,45.64
JAMMU & KASHMIR,PUNCH,78.47,58.26
MAHARASHTRA,PUNE,,91.23
BIHAR,PURBA CHAMPARAN,97.12,58.38
WEST BENGAL,PURBA MEDINIPUR,82.92,60.8
JHARKHAND,PURBI SINGHBHUM,82.02,63.14
ODISHA,PURI,87.39,71.92
BIHAR,PURNIA,,64.63
WEST BENGAL,PURULIYA,79.41,66.58
UTTAR PRADESH,RAE BARELI,66.56,35.95
KARNATAKA,RAICHUR,96.59,77.16
MAHARASHTRA,Raigarh,95.38,82.65
CHHATTISGARH,RAIGARH (CHHATTISGARH),92.19,83.78
CHHATTISGARH,RAIPUR,50,67.04
MADHYA PRADESH,RAISEN,86.79,66.89
MADHYA PRADESH,RAJGARH,84.65,62.36
GUJARAT,RAJKOT,71.34,62.92
CHHATTISGARH,RAJNANDGAON,94.26,85.86
JAMMU & KASHMIR,Rajouri,76.32,57.52
RAJASTHAN,RAJSAMAND,88.05,65.41
KARNATAKA,RAMANAGARA,88.7,84.7
TAMIL NADU,RAMANATHAPURAM,96.65,76.23
JAMMU & KASHMIR,RAMBAN,69.3,59.99
JHARKHAND,RAMGARH,82.62,57.71
UTTAR PRADESH,RAMPUR,,48.05
JHARKHAND,RANCHI,85.64,61.03
MADHYA PRADESH,RATLAM,87.6,61.8
MAHARASHTRA,RATNAGIRI,88.1,81.76
ODISHA,RAYAGADA,97.91,51.18
JAMMU & KASHMIR,REASI,88.02,61.67
MADHYA PRADESH,REWA,93.24,75.13
HARYANA,REWARI,68.72,65.94
MEGHALAYA,RI BHOI,86.11,38.03
HARYANA,ROHTAK,75.97,71.04
BIHAR,ROHTAS,97.57,76.62
UTTARAKHAND,RUDRAPRAYAG,89.76,79.56
PUNJAB,RUPNAGAR,89.65,
GUJARAT,SABAR KANTHA,47.53,45.44
MADHYA PRADESH,SAGAR,81.37,71.52
UTTAR PRADESH,SAHARANPUR,83.99,71.16
BIHAR,SAHARSA,,60.45
JHARKHAND,SAHIBGANJ,92.03,46.97
MIZORAM,SAIHA,76.02,50.96
TAMIL NADU,SALEM,95.48,82.71
BIHAR,SAMASTIPUR,92.72,66.88
JAMMU & KASHMIR,SAMBA,85.8,73.27
ODISHA,SAMBALPUR,87.66,76.6
UTTAR PRADESH,SAMBHAL (BHIM NAGAR),,
MAHARASHTRA,SANGLI,87.71,82.86
PUNJAB,SANGRUR,86.64,76.5
UTTAR PRADESH,SANT KABIR NAGAR,93.27,51.01
UTTAR PRADESH,Sant Ravi Das Nagar(bhadohi),82.47,53.2
JHARKHAND,Saraikela-kharsawan,71.68,49.11
BIHAR,SARAN,,73.51
MAHARASHTRA,SATARA,86.27,80.78
MADHYA PRADESH,SATNA,82.59,70.62
RAJASTHAN,SAWAI MADHOPUR,86.53,63.5
MADHYA PRADESH,SEHORE,87.67,71.94
MANIPUR,SENAPATI,,
MADHYA PRADESH,SEONI,84.92,77.12
TRIPURA,SEPAHIJALA,,
MIZORAM,SERCHHIP,86.31,72.56
MADHYA PRADESH,SHAHDOL,86.81,77.72
UTTAR PRADESH,SHAHJAHANPUR,,52.45
MADHYA PRADESH,SHAJAPUR,47.02,34.54
UTTAR PRADESH,SHAMLI (PRABUDH NAGAR),,
BIHAR,SHEIKHPURA,,71.32
BIHAR,SHEOHAR,,66.5
MADHYA PRADESH,SHEOPUR,95,62.82
HIMACHAL PRADESH,SHIMLA,95.39,84.9
KARNATAKA,SHIMOGA,96.3,88.72
MADHYA PRADESH,SHIVPURI,94.97,70.86
UTTAR PRADESH,SHRAWASTI,94.83,42.54
JAMMU & KASHMIR,Shupiyan,66.43,51.36
ARUNACHAL PRADESH,SIANG,,
ASSAM,SIBSAGAR,,75.5
UTTAR PRADESH,Siddharth Nagar,81.94,37.32
MADHYA PRADESH,SIDHI,86.78,72.55
RAJASTHAN,SIKAR,71.16,68.93
WEST BENGAL,SILIGURI,,
JHARKHAND,SIMDEGA,91.5,49.48
MAHARASHTRA,SINDHUDURG,86.99,82.84
MADHYA PRADESH,SINGRAULI,87.04,63.98
HIMACHAL PRADESH,SIRMAUR,89.94,83.38
RAJASTHAN,SIROHI,76.42,52.81
HARYANA,SIRSA,83.48,70.21
BIHAR,SITAMARHI,,66.14
UTTAR PRADESH,SITAPUR,,47.3
TAMIL NADU,SIVAGANGA,89.94,76.83
BIHAR,SIWAN,94,68.65
HIMACHAL PRADESH,SOLAN,,90.65
MAHARASHTRA,SOLAPUR,88.3,82.12
UTTAR PRADESH,SONBHADRA,98.71,59.27
HARYANA,SONIPAT,80.66,71.37
ASSAM,SONITPUR,96.92,56.73
WEST BENGAL,South 24 Parganas,90.3,68.78
A & N ISLANDS,South Andaman,96.26,83.33
DELHI,SOUTH DELHI,97.74,89.92
MEGHALAYA,SOUTH GARO HILLS,91.83,54.52
GOA,SOUTH GOA,,99.17
SIKKIM,SOUTH SIKKIM,67.99,44.57
TRIPURA,SOUTH TRIPURA,47.22,47.64
DELHI,SOUTH WEST DELHI,,92.42
